method_name,year,min_score,special_requirements,description
V-SAT-TNU,2025,225,Không có môn nào dưới 15.0 điểm,Kỳ thi V-SAT-TNU của Đại học Thái Nguyên (thang 450 điểm)
V-SAT-TNU,2024,225,Không có môn nào dưới 15.0 điểm,Kỳ thi V-SAT-TNU của Đại học Thái Nguyên (thang 450 điểm)
Học bạ,2023,18.00,-,Xét tuyển theo điểm học bạ THPT
Điểm thi THPT,2023,18.00,-,Xét tuyển theo điểm thi tốt nghiệp THPT
Học bạ,2022,18.00,-,Xét tuyển theo điểm học bạ THPT
Điểm thi THPT,2022,18.00,-,Xét tuyển theo điểm thi tốt nghiệp THPT
